row_id,doc_idx,doc_id,char_index,char,left_context,right_context,window_text,prev_char,next_char,prev_token,next_token,rule_guess,gold_label,annotator_note,dot_idx_in_doc
d2_p278,2,2,278,.,ünyaya gəldikdən sonra daha çox göstərir, Tefta Taşko 1947-ci ildə 37 yaşında Tir,ünyaya gəldikdən sonra daha çox göstərir. Tefta Taşko 1947-ci ildə 37 yaşında Tir,r, ,göstərir,Tefta,1,1,,3
d2_p335,2,2,335,.,7-ci ildə 37 yaşında Tiranada vəfat edir, Xatirəsinin əbədiləşdirilməsi Ölümündən,7-ci ildə 37 yaşında Tiranada vəfat edir. Xatirəsinin əbədiləşdirilməsi Ölümündən,r, ,edir,Xatirəsinin,1,1,,4
d2_p426,2,2,426,.,ənniyə Albaniya xalq artisti adı verilir, Müğənninin ölümünün 60-cı ildönümündə A,ənniyə Albaniya xalq artisti adı verilir. Müğənninin ölümünün 60-cı ildönümündə A,r, ,verilir,Müğənninin,1,1,,5
d2_p539,2,2,539,.,iştirakı ilə böyük konsert keçirilmişdir, İstinadlar Ədəbiyyat Robert Elsie A Bio,iştirakı ilə böyük konsert keçirilmişdir. İstinadlar Ədəbiyyat Robert Elsie A Bio,r, ,keçirilmişdir,İstinadlar,1,1,,6
d2_p620,2,2,620,.,graphical Dictionary of Albanian History," Şərqi Timor dövlətinin Luten rayonu, Tu","graphical Dictionary of Albanian History. Şərqi Timor dövlətinin Luten rayonu, Tu",y, ,History,Şərqi,1,1,,7
d2_p688,2,2,688,.,"en rayonu, Tutuala alt rayonuna daxildir", Timorun əhalisi adanı müqəddəs saydığın,"en rayonu, Tutuala alt rayonuna daxildir. Timorun əhalisi adanı müqəddəs saydığın",r, ,daxildir,Timorun,1,1,,8
d2_p757,2,2,757,.,dəs saydığından onun ziyarəti qadağandır,,dəs saydığından onun ziyarəti qadağandır.,r,,qadağandır,,1,1,,9
d3_p67,3,3,67,.,tez balıqçılar və turistlər ziyarət edir, Onları bura fauna və gözəl çimərliklər ,tez balıqçılar və turistlər ziyarət edir. Onları bura fauna və gözəl çimərliklər ,r, ,edir,Onları,1,1,,0
d3_p117,3,3,117,.,ura fauna və gözəl çimərliklər cəlb edir, Həyatı və yaradıcılığı Muhitdin Qara-Ya,ura fauna və gözəl çimərliklər cəlb edir. Həyatı və yaradıcılığı Muhitdin Qara-Ya,r, ,edir,Həyatı,1,1,,1
d3_p283,3,3,283,.,"ası"" nın yaradılmasında iştirak etmişdir", Səhnə fəaliyyətinə Qara-Yaqubov 1919-cu,"ası"" nın yaradılmasında iştirak etmişdir. Səhnə fəaliyyətinə Qara-Yaqubov 1919-cu",r, ,etmişdir,Səhnə,1,1,,2
d3_p441,3,3,441,.,Qırmızı Ordu hissələrində çıxış etmişdir, Muhitdin Qara-Yaqubov 1922-1924-cü illə,Qırmızı Ordu hissələrində çıxış etmişdir. Muhitdin Qara-Yaqubov 1922-1924-cü illə,r, ,etmişdir,Muhitdin,1,1,,3
d3_p552,3,3,552,.,utunun - QİTİS-in vokal şöbəsində oxuyub," O, 1926-cı ildə konsert və etnoqrafik a","utunun - QİTİS-in vokal şöbəsində oxuyub. O, 1926-cı ildə konsert və etnoqrafik a",b, ,oxuyub,O,1,1,,4
d3_p610,3,3,610,.,konsert və etnoqrafik ansamblını yaradıb," Muhitdin Qara-Yaqubov Daşkənd, Əndican ","konsert və etnoqrafik ansamblını yaradıb. Muhitdin Qara-Yaqubov Daşkənd, Əndican ",b, ,yaradıb,Muhitdin,1,1,,5
d3_p710,3,3,710,.,teatrlarının təşkilində iştirak etmişdir, Muhitdin Qara-Yaqubov - Özbək Musiqili ,teatrlarının təşkilində iştirak etmişdir. Muhitdin Qara-Yaqubov - Özbək Musiqili ,r, ,etmişdir,Muhitdin,1,1,,6
d3_p798,3,3,798,.,ın qurucusu və bədii rəhbəri olub (1926), Qara-Yaqubov opera studiyasına rəhbərli,ın qurucusu və bədii rəhbəri olub (1926). Qara-Yaqubov opera studiyasına rəhbərli,), ,,Qara-Yaqubov,1,1,,7
d3_p1010,3,3,1010,.,əti ustalarından peşə təhsili almışdılar, Qara-Yaqubov 1929-1939 və 1946-1950-ci ,əti ustalarından peşə təhsili almışdılar. Qara-Yaqubov 1929-1939 və 1946-1950-ci ,r, ,almışdılar,Qara-Yaqubov,1,1,,8
d3_p1157,3,3,1157,., və 1932-ci ildən bədii rəhbəri olmuşdur,, və 1932-ci ildən bədii rəhbəri olmuşdur.,r,,olmuşdur,,1,1,,9
d4_p76,4,4,76,.,pera və Balet Teatrının solisti olmuşdur, Yalnız İosif Stalinin ölümündən sonra 1,pera və Balet Teatrının solisti olmuşdur. Yalnız İosif Stalinin ölümündən sonra 1,r, ,olmuşdur,Yalnız,1,1,,0
d4_p144,4,4,144,.,ündən sonra 1955-ci ildə azad edilmişdir, Qara-Yaqubov 1956-cı ilin yanvarından y,ündən sonra 1955-ci ildə azad edilmişdir. Qara-Yaqubov 1956-cı ilin yanvarından y,r, ,edilmişdir,Qara-Yaqubov,1,1,,1
d4_p237,4,4,237,.,moniyanın solisti vəzifəsində çalışmışdı, Daha sonra Estrada teatrına dəvət edili,moniyanın solisti vəzifəsində çalışmışdı. Daha sonra Estrada teatrına dəvət edili,ı, ,çalışmışdı,Daha,1,1,,2
d4_p345,4,4,345,., opera və romanslardan ariyalar ifa edir, Qəzadan sonra özünə gələ bilməyən Muhit, opera və romanslardan ariyalar ifa edir. Qəzadan sonra özünə gələ bilməyən Muhit,r, ,edir,Qəzadan,1,1,,3
d4_p451,4,4,451,.,ə sonra 2 fevral 1957-ci ildə vəfat edir, Xalq Mahnıları və Rəqsləri Akademiyası ,ə sonra 2 fevral 1957-ci ildə vəfat edir. Xalq Mahnıları və Rəqsləri Akademiyası ,r, ,edir,Xalq,1,1,,4
d4_p553,4,4,553,.,çə Muhitdin Qori-Yaqubovun adını daşıyır, Sonradan məhkəmənin qərarı ilə 15 il hə,çə Muhitdin Qori-Yaqubovun adını daşıyır. Sonradan məhkəmənin qərarı ilə 15 il hə,r, ,daşıyır,Sonradan,1,1,,5
d4_p677,4,4,677,.,ndə 2 il sürgündə yaşamağa məhkum edilib, Fəaliyyətində heç bir cinayət tərkibi o,ndə 2 il sürgündə yaşamağa məhkum edilib. Fəaliyyətində heç bir cinayət tərkibi o,b, ,edilib,Fəaliyyətində,1,1,,6
d4_p940,4,4,940,.,rlikdə dərhal azad edilməsi tələb edilib," O, həm də Cənubi Azərbaycanda müxtəlif ","rlikdə dərhal azad edilməsi tələb edilib. O, həm də Cənubi Azərbaycanda müxtəlif ",b, ,edilib,O,1,1,,7
d4_p1091,4,4,1091,.,əşkil edən Kəndimiz Fondunun qurucusudur, Haqqında Həyatı və fəaliyyəti Əlirza Fə,əşkil edən Kəndimiz Fondunun qurucusudur. Haqqında Həyatı və fəaliyyəti Əlirza Fə,r, ,qurucusudur,Haqqında,1,1,,8
d4_p1190,4,4,1190,.,ərəndin Dizəc Yekan kəndində anadan olub,,ərəndin Dizəc Yekan kəndində anadan olub.,b,,olub,,1,1,,9
d5_p142,5,5,142,.,alının redaksiyasında fəaliyyət göstərib, Sonradan Culfa şəhərində yerləşən Azad ,alının redaksiyasında fəaliyyət göstərib. Sonradan Culfa şəhərində yerləşən Azad ,b, ,göstərib,Sonradan,1,1,,0
d5_p220,5,5,220,.,ad Universitetində dərs keçməyə başlayıb, Müəllimlik fəaliyyəti ilə yanaşı Cənubi,ad Universitetində dərs keçməyə başlayıb. Müəllimlik fəaliyyəti ilə yanaşı Cənubi,b, ,başlayıb,Müəllimlik,1,1,,1
d5_p387,5,5,387,.,asını təşkil edən Kəndimiz Vəqfini qurub, Kəndimiz Vəqfi fəaliyyət göstərdiyi ill,asını təşkil edən Kəndimiz Vəqfini qurub. Kəndimiz Vəqfi fəaliyyət göstərdiyi ill,b, ,qurub,Kəndimiz,1,1,,2
d5_p519,5,5,519,.,tabı orada yaşayan uşaqlara hədiyyə edib, Həbs edilməsi və sonrakı fəaliyyəti 200,tabı orada yaşayan uşaqlara hədiyyə edib. Həbs edilməsi və sonrakı fəaliyyəti 200,b, ,edib,Həbs,1,1,,3
d5_p712,5,5,712,.,daşı Sima Didar ilə birlikdə həbs edilib, Məhkəmə onları bir il müddətinə həbsə m,daşı Sima Didar ilə birlikdə həbs edilib. Məhkəmə onları bir il müddətinə həbsə m,b, ,edilib,Məhkəmə,1,1,,4
d5_p825,5,5,825,.,məhkəməsi həbsin müddətini 6 aya endirib, Təbriz həbsxanasına köçürüldükdən sonra,məhkəməsi həbsin müddətini 6 aya endirib. Təbriz həbsxanasına köçürüldükdən sonra,b, ,endirib,Təbriz,1,1,,5
d5_p908,5,5,908,.,əsiqə qarşılığında müvəqqəti azad olunur, Sonradan məhkəmənin qərarı ilə 15 il hə,əsiqə qarşılığında müvəqqəti azad olunur. Sonradan məhkəmənin qərarı ilə 15 il hə,r, ,olunur,Sonradan,1,1,,6
d5_p1032,5,5,1032,.,ndə 2 il sürgündə yaşamağa məhkum edilib, Tehranın Evin zindanında saxlanan fəall,ndə 2 il sürgündə yaşamağa məhkum edilib. Tehranın Evin zindanında saxlanan fəall,b, ,edilib,Tehranın,1,1,,7
d5_p1199,5,5,1199,.,t korpusu olan 305-ci korpusa köçürüblər, Sonradan siyasi məhbus Abbas Lisani və ,t korpusu olan 305-ci korpusa köçürüblər. Sonradan siyasi məhbus Abbas Lisani və ,r, ,köçürüblər,Sonradan,1,1,,8
d5_p1318,5,5,1318,.,k olmaq məqsədilə həmin aksiyaya qatılıb,,k olmaq məqsədilə həmin aksiyaya qatılıb.,b,,qatılıb,,1,1,,9
d6_p227,6,6,227,.,an kənarda müalicə olunmasını tələb edib, Həmçinin məktubunda 20 ay həbs müddəti ,an kənarda müalicə olunmasını tələb edib. Həmçinin məktubunda 20 ay həbs müddəti ,b, ,edib,Həmçinin,1,1,,0
d6_p535,6,6,535,.,görə həbsə məhkum edilməsini tənqid edib, Həbsxanadan göndərdiyi açıq məktubda bu,görə həbsə məhkum edilməsini tənqid edib. Həbsxanadan göndərdiyi açıq məktubda bu,b, ,edib,Həbsxanadan,1,1,,1
d6_p879,6,6,879,.,yiqlərə etiraz olaraq etdiyini qeyd edib, Tutulmasına qarşı etirazlar Fəaliyyətin,yiqlərə etiraz olaraq etdiyini qeyd edib. Tutulmasına qarşı etirazlar Fəaliyyətin,b, ,edib,Tutulmasına,1,1,,2
d6_p1123,6,6,1123,.,lib və dərhal azad edilməsi tələb olunub, Bu məktubda onlar Əlirza Fərşinin vəziy,lib və dərhal azad edilməsi tələb olunub. Bu məktubda onlar Əlirza Fərşinin vəziy,b, ,olunub,Bu,1,1,,3
d6_p1205,6,6,1205,.,ətindən narahat olduqlarını qeyd ediblər, Əlirza Fərşi həbsdə olduğu müddətdə şək,ətindən narahat olduqlarını qeyd ediblər. Əlirza Fərşi həbsdə olduğu müddətdə şək,r, ,ediblər,Əlirza,1,1,,4
d6_p1331,6,6,1331,.,lmadığı üçün vəziyyəti daha da ağırlaşıb, Bundan başqa görmə qabiliyyəti zəifləsə,lmadığı üçün vəziyyəti daha da ağırlaşıb. Bundan başqa görmə qabiliyyəti zəifləsə,b, ,ağırlaşıb,Bundan,1,1,,5
d6_p1475,6,6,1475,.,liyyatı üçün heç bir şərait yaradılmayıb," Fəallar üzərində ""Əlirza Fərşi, insan a","liyyatı üçün heç bir şərait yaradılmayıb. Fəallar üzərində ""Əlirza Fərşi, insan a",b, ,yaradılmayıb,Fəallar,1,1,,6
d6_p1729,6,6,1729,.,"a yapışdırıb, əhali arasında paylayıblar", Bununla yanaşı iyulun 5-də Mərənd şəhər,"a yapışdırıb, əhali arasında paylayıblar. Bununla yanaşı iyulun 5-də Mərənd şəhər",r, ,paylayıblar,Bununla,1,1,,7
d6_p1849,6,6,1849,.,rşı haqsızlıqlara qarşı aksiya keçirilib, Mərənd şəhərinin milli-mədəni fəalları ,rşı haqsızlıqlara qarşı aksiya keçirilib. Mərənd şəhərinin milli-mədəni fəalları ,b, ,keçirilib,Mərənd,1,1,,8
d6_p2050,6,6,2050,.,", şəhərin körpüsü üzərində baner asıblar",,", şəhərin körpüsü üzərində baner asıblar.",r,,asıblar,,1,1,,9
d7_p165,7,7,165,.,ğu tibbi yardımı almamasını qeyd ediblər, Bu baş verən hadisələrə görə onlar İran,ğu tibbi yardımı almamasını qeyd ediblər. Bu baş verən hadisələrə görə onlar İran,r, ,ediblər,Bu,1,1,,0
d7_p387,7,7,387,.,ış tibbi yardımı təmin etməyə çağırıblar, Bundan başqa Əlirza Fərşinin dərhal və ,ış tibbi yardımı təmin etməyə çağırıblar. Bundan başqa Əlirza Fərşinin dərhal və ,r, ,çağırıblar,Bundan,1,1,,1
d7_p577,7,7,577,.,nlərin mühakimə olunmasını tələb ediblər," İqlimdə riyazi modellər Məlumdur ki, hi","nlərin mühakimə olunmasını tələb ediblər. İqlimdə riyazi modellər Məlumdur ki, hi",r, ,ediblər,İqlimdə,1,1,,2
d7_p738,7,7,738,.,"məli, differensial tənliklər şəklindədir", Bu səbəbdən onların həll sxemlərini işl,"məli, differensial tənliklər şəklindədir. Bu səbəbdən onların həll sxemlərini işl",r, ,şəklindədir,Bu,1,1,,3
d7_p997,7,7,997,.,ərində başlanğıc qiymətləri verilməlidir, Meteoroloji stansiyaların yer kürəsində,ərində başlanğıc qiymətləri verilməlidir. Meteoroloji stansiyaların yer kürəsində,r, ,verilməlidir,Meteoroloji,1,1,,4
d7_p1159,7,7,1159,.,ütləq ədədi üsullarla təhlil edilməlidir, Sərhəd şərtləri-riyazi şərtlər Sərhəd ş,ütləq ədədi üsullarla təhlil edilməlidir. Sərhəd şərtləri-riyazi şərtlər Sərhəd ş,r, ,edilməlidir,Sərhəd,1,1,,5
d7_p1247,7,7,1247,., onlara həm də riyazi şərtlər də deyilir, Baxılan ərazinin sərhədlərində differen, onlara həm də riyazi şərtlər də deyilir. Baxılan ərazinin sərhədlərində differen,r, ,deyilir,Baxılan,1,1,,6
d7_p1351,7,7,1351,.,əlli zamanı bu şərtlər daxil edilməlidir, Sərhəd şərtlərinin xüsusiyyəti öyrənilə,əlli zamanı bu şərtlər daxil edilməlidir. Sərhəd şərtlərinin xüsusiyyəti öyrənilə,r, ,edilməlidir,Sərhəd,1,1,,7
d7_p1448,7,7,1448,.,a prosesin fiziki mahiyyətindən asılıdır, Hidrodinamika tənliklərin havanın və iq,a prosesin fiziki mahiyyətindən asılıdır. Hidrodinamika tənliklərin havanın və iq,r, ,asılıdır,Hidrodinamika,1,1,,8
d7_p1605,7,7,1605,.,üqi həm də şaquli istiqamətlərdə baxılır,,üqi həm də şaquli istiqamətlərdə baxılır.,r,,baxılır,,1,1,,9
d8_p129,8,8,129,.,liyinin qanunauyğunluqlarını təşkil edir, Havanın ədədi proqnozları məsələləri üç,liyinin qanunauyğunluqlarını təşkil edir. Havanın ədədi proqnozları məsələləri üç,r, ,edir,Havanın,1,1,,0
d8_p242,8,8,242,.,ərtlərinin verilməsi çox çətin məsələdir, Çünki müəyyən bir ərazi üçün ədədi proq,ərtlərinin verilməsi çox çətin məsələdir. Çünki müəyyən bir ərazi üçün ədədi proq,r, ,məsələdir,Çünki,1,1,,1
d8_p374,8,8,374,.,sərhədlərindəki proqnozu bilmək lazımdır," Bu çətinlikləri aradan qaldırmaq, daha ","sərhədlərindəki proqnozu bilmək lazımdır. Bu çətinlikləri aradan qaldırmaq, daha ",r, ,lazımdır,Bu,1,1,,2
d8_p462,8,8,462,.,esək azatmanın üç müxtəlif yanaşması var, Sərhəd şərtlərinin məhdud bir ərazi üçü,esək azatmanın üç müxtəlif yanaşması var. Sərhəd şərtlərinin məhdud bir ərazi üçü,r, ,var,Sərhəd,1,1,,3
d8_p538,8,8,538,.,i üçün verilməsi nisbətən asan məsələdir, Sərhəd şərtləri daha da dəqiq və konkre,i üçün verilməsi nisbətən asan məsələdir. Sərhəd şərtləri daha da dəqiq və konkre,r, ,məsələdir,Sərhəd,1,1,,4
d8_p593,8,8,593,.,ri daha da dəqiq və konkret verilməlidir," Bu da ölkə əhalisinin 0,1%-dən azını tə","ri daha da dəqiq və konkret verilməlidir. Bu da ölkə əhalisinin 0,1%-dən azını tə",r, ,verilməlidir,Bu,1,1,,5
d8_p643,8,8,643,.,"kə əhalisinin 0,1%-dən azını təşkil edir", Onun xatirələri sonralar Mərkəzi Avropa,"kə əhalisinin 0,1%-dən azını təşkil edir. Onun xatirələri sonralar Mərkəzi Avropa",r, ,edir,Onun,1,1,,6
d8_p746,8,8,746,.,n biri kimi İslam dünyasında nəşr olundu, Vyananın hər iki mühasirəsi zamanı Osma,n biri kimi İslam dünyasında nəşr olundu. Vyananın hər iki mühasirəsi zamanı Osma,u, ,olundu,Vyananın,1,1,,7
d8_p838,8,8,838,.,ının kəşfiyyat qrupları Moraviyaya çatdı, Müasir dövr Avstriya-Macarıstan monarxi,ının kəşfiyyat qrupları Moraviyaya çatdı. Müasir dövr Avstriya-Macarıstan monarxi,ı, ,çatdı,Müasir,1,1,,8
d8_p1004,8,8,1004,.,isində mövcud olmasına rəsmi icazə verdi,,isində mövcud olmasına rəsmi icazə verdi.,i,,verdi,,1,1,,9
d9_p59,9,9,59,.,də yaradılıb və 1949-cu ildə ləğv edilib, Bir il sonra isə paytaxt Praqada məscid,də yaradılıb və 1949-cu ildə ləğv edilib. Bir il sonra isə paytaxt Praqada məscid,b, ,edilib,Bir,1,1,,0
d9_p107,9,9,107,., sonra isə paytaxt Praqada məscid açıldı, Digər şəhərlərdə məscidlərin açılması c, sonra isə paytaxt Praqada məscid açıldı. Digər şəhərlərdə məscidlərin açılması c,ı, ,açıldı,Digər,1,1,,1
d9_p199,9,9,199,.,qarşısı yerli sakinlər tərəfindən alınıb, Müsəlmanların əksəriyyəti Bosniya və He,qarşısı yerli sakinlər tərəfindən alınıb. Müsəlmanların əksəriyyəti Bosniya və He,b, ,alınıb,Müsəlmanların,1,1,,2
d9_p304,9,9,304,.,və keçmiş Sovet İttifaqı ölkələrindəndir," Misirli, Suriyalı və digər Yaxın Şərq ə","və keçmiş Sovet İttifaqı ölkələrindəndir. Misirli, Suriyalı və digər Yaxın Şərq ə",r, ,ölkələrindəndir,Misirli,1,1,,3
d9_p418,9,9,418,.,nsanlar onun mühüm və nüfuzlu hissəsidir, Coğrafi yerləşməsi Məsafələr rayon mərk,nsanlar onun mühüm və nüfuzlu hissəsidir. Coğrafi yerləşməsi Məsafələr rayon mərk,r, ,hissəsidir,Coğrafi,1,1,,4
d9_p524,9,9,524,.,nd sovetliyindən (Starıye Mutabaş) 30 km, ən yaxın dəmiryol stansiyasından (Çernu,nd sovetliyindən (Starıye Mutabaş) 30 km. ən yaxın dəmiryol stansiyasından (Çernu,m, ,km,ən,0,0,,5
d9_p586,9,9,586,.,ansiyasından (Çernuşka stansiyası) 40 km, Milli tərkib baxşmından başqırdlar (97%,ansiyasından (Çernuşka stansiyası) 40 km. Milli tərkib baxşmından başqırdlar (97%,m, ,km,Milli,1,1,,6
d9_p649,9,9,649,.,an başqırdlar (97%) üstünlük təşkil edir, Androgenez nəticəsində əmələ gələn nəsi,an başqırdlar (97%) üstünlük təşkil edir. Androgenez nəticəsində əmələ gələn nəsi,r, ,edir,Androgenez,1,1,,7
d9_p735,9,9,735,.,yalnız ata irsinin əlamətlərini saxlayır, Yumurtanın inkişafı bir erkək xromosom ,yalnız ata irsinin əlamətlərini saxlayır. Yumurtanın inkişafı bir erkək xromosom ,r, ,saxlayır,Yumurtanın,1,1,,8
d9_p842,9,9,842,.,xromosom dəstinin iştirakı ilə baş verir, Təbiətdə androgenez müstəsna hallarda b,xromosom dəstinin iştirakı ilə baş verir. Təbiətdə androgenez müstəsna hallarda b,r, ,verir,Təbiətdə,1,1,,9
d9_p929,9,9,929,.,şəratlarda və bitkilərdə müşahidə edilir,,şəratlarda və bitkilərdə müşahidə edilir.,r,,edilir,,1,1,,10
d10_p109,10,10,109,.,və kimyəvi təsirlərlə təcrid edilməlidir," Süni androgenez bitkilərdə (buğda, qarğ","və kimyəvi təsirlərlə təcrid edilməlidir. Süni androgenez bitkilərdə (buğda, qarğ",r, ,edilməlidir,Süni,1,1,,0
d10_p239,10,10,239,.,sesini sürətləndirmək üçün tətbiq edilir, İlk dəfə 1956-cı ildə B. L. Astaurov bu,sesini sürətləndirmək üçün tətbiq edilir. İlk dəfə 1956-cı ildə B. L. Astaurov bu,r, ,edilir,İlk,1,1,,1
d10_p264,10,10,264,.,n tətbiq edilir. İlk dəfə 1956-cı ildə B, L. Astaurov bu təcrübəni tut ipəkqurdu ,n tətbiq edilir. İlk dəfə 1956-cı ildə B. L. Astaurov bu təcrübəni tut ipəkqurdu ,B, ,B,L,0,0,,2
d10_p267,10,10,267,.,ətbiq edilir. İlk dəfə 1956-cı ildə B. L, Astaurov bu təcrübəni tut ipəkqurdu üzə,ətbiq edilir. İlk dəfə 1956-cı ildə B. L. Astaurov bu təcrübəni tut ipəkqurdu üzə,L, ,L,Astaurov,0,0,,3
d10_p518,10,10,518,.,ipəkçiliyin inkişafı üçün əhəmiyyətlidir, Erkək cinsi hüceyrələr bankı yaratmaqla,ipəkçiliyin inkişafı üçün əhəmiyyətlidir. Erkək cinsi hüceyrələr bankı yaratmaqla,r, ,əhəmiyyətlidir,Erkək,1,1,,4
d10_p670,10,10,670,.,hafizəsi və bərpasında tətbiq etmək olar, Ənənəvi olaraq diploid androgenez hadis,hafizəsi və bərpasında tətbiq etmək olar. Ənənəvi olaraq diploid androgenez hadis,r, ,olar,Ənənəvi,1,1,,5
